"county","estimated_population","dt_admin","total_partial_vaccinated","cumulative_fully_vaccinated","cumulative_at_least_one_dose","cumulative_unvaccinated","suppress_data","cumulative_up_to_date_vax","race_eth","age_category","sex","quarter"
"AlamedaCounty",87941,2022-03-31,63,27,96,87845,FALSE,0,"NA","0-17",NA,2022.1
"AlamedaCounty",87941,2022-06-30,6112,37,6155,81786,FALSE,0,"NA","0-17",NA,2022.2
"AlamedaCounty",87941,2022-09-30,10401,11804,22211,65730,FALSE,5,"NA","0-17",NA,2022.3
"AlamedaCounty",87941,2022-12-31,9372,18304,27682,60259,FALSE,1104,"NA","0-17",NA,2022.4
"AlamedaCounty",87941,2023-03-31,9035,21296,30337,57604,FALSE,5441,"NA","0-17",NA,2023.1
"AlamedaCounty",87941,2023-06-30,9597,22297,31900,56041,FALSE,8169,"NA","0-17",NA,2023.2
"AlamedaCounty",87941,2023-08-26,10074,22693,32773,55168,FALSE,9192,"NA","0-17",NA,2023.3
"AlamedaCounty",120945,2022-03-31,5477,100385,105892,15053,FALSE,12,"NA","0-17",NA,2022.1
"AlamedaCounty",120945,2022-06-30,5466,101522,107022,13923,FALSE,17,"NA","0-17",NA,2022.2
"AlamedaCounty",120945,2022-09-30,5630,102290,107955,12990,FALSE,3955,"NA","0-17",NA,2022.3
"AlamedaCounty",120945,2022-12-31,5921,102510,108472,12473,FALSE,23857,"NA","0-17",NA,2022.4
"AlamedaCounty",120945,2023-03-31,6004,102641,108690,12255,FALSE,27885,"NA","0-17",NA,2023.1
"AlamedaCounty",120945,2023-06-30,6145,102665,108855,12090,FALSE,30341,"NA","0-17",NA,2023.2
"AlamedaCounty",120945,2023-08-26,6246,102666,108957,11988,FALSE,31450,"NA","0-17",NA,2023.3
"AlamedaCounty",131469,2022-03-31,5989,78634,84633,46836,FALSE,13,"NA","0-17",NA,2022.1
"AlamedaCounty",131469,2022-06-30,6275,83438,89723,41746,FALSE,23,"NA","0-17",NA,2022.2
"AlamedaCounty",131469,2022-09-30,6005,87953,93969,37500,FALSE,34,"NA","0-17",NA,2022.3
"AlamedaCounty",131469,2022-12-31,6244,89239,95495,35974,FALSE,19110,"NA","0-17",NA,2022.4
"AlamedaCounty",131469,2023-03-31,6252,89908,96172,35297,FALSE,24089,"NA","0-17",NA,2023.1
"AlamedaCounty",131469,2023-06-30,6586,89990,96588,34881,FALSE,27145,"NA","0-17",NA,2023.2
"AlamedaCounty",131469,2023-08-26,6795,90000,96807,34662,FALSE,28347,"NA","0-17",NA,2023.3
"AlamedaCounty",265863,2022-03-31,13271,242518,255789,10074,FALSE,9,"NA","65+",NA,2022.1
"AlamedaCounty",265863,2022-06-30,13469,244856,258325,7538,FALSE,13,"NA","65+",NA,2022.2
"AlamedaCounty",265863,2022-09-30,14675,245625,260300,5563,FALSE,19406,"NA","65+",NA,2022.3
"AlamedaCounty",265863,2022-12-31,17290,245773,263063,2800,FALSE,94687,"NA","65+",NA,2022.4
"AlamedaCounty",265863,2023-03-31,17887,245867,263754,2109,FALSE,106898,"NA","65+",NA,2023.1
"AlamedaCounty",265863,2023-06-30,18362,245880,264242,1621,FALSE,142410,"NA","65+",NA,2023.2
"AlamedaCounty",265863,2023-08-26,18557,245881,264438,1425,FALSE,152990,"NA","65+",NA,2023.3
"AlamedaCounty",317128,2022-03-31,15544,280057,295601,21527,FALSE,20,"NA","50-64",NA,2022.1
