age_category,county,quarter,mean_vaccination_rate
0-17,Alameda County,2022.1,0.476143528642902
0-17,Alameda County,2022.2,0.4914953998391537
0-17,Alameda County,2022.3,0.5496615032501782
0-17,Alameda County,2022.4,0.5781661612799782
0-17,Alameda County,2023.1,0.5915643612096028
0-17,Alameda County,2023.2,0.5956326245511648
0-17,Alameda County,2023.3,0.5971617415009666
0-17,Alpine County,2022.1,NA
0-17,Alpine County,2022.2,NA
0-17,Alpine County,2022.3,NA
0-17,Alpine County,2022.4,NA
0-17,Alpine County,2023.1,NA
0-17,Alpine County,2023.2,NA
0-17,Alpine County,2023.3,NA
0-17,Amador County,2022.1,0.27179423648700163
0-17,Amador County,2022.2,0.2814291690368537
0-17,Amador County,2022.3,0.2848906195326871
0-17,Amador County,2022.4,0.2861270263877567
0-17,Amador County,2023.1,0.28686911484997935
0-17,Amador County,2023.2,0.28686911484997935
0-17,Amador County,2023.3,0.28686911484997935
0-17,Butte County,2022.1,0.17879308206261013
0-17,Butte County,2022.2,0.1850100075186983
0-17,Butte County,2022.3,0.19258480120757046
0-17,Butte County,2022.4,0.1981624936057515
0-17,Butte County,2023.1,0.20134185683978095
0-17,Butte County,2023.2,0.20183615867951585
0-17,Butte County,2023.3,0.20216943646655133
0-17,Calaveras County,2022.1,0.2216620995567401
0-17,Calaveras County,2022.2,0.23227898785336448
0-17,Calaveras County,2022.3,0.2376689596061024
0-17,Calaveras County,2022.4,0.2390591127919744
0-17,Calaveras County,2023.1,0.23964712819502182
0-17,Calaveras County,2023.2,0.23964712819502182
0-17,Calaveras County,2023.3,0.23964712819502182
0-17,Colusa County,2022.1,0.41456953642384103
0-17,Colusa County,2022.2,0.4273730684326711
0-17,Colusa County,2022.3,0.43090507726269317
0-17,Colusa County,2022.4,0.4326710816777042
0-17,Colusa County,2023.1,0.4326710816777042
0-17,Colusa County,2023.2,0.4326710816777042
0-17,Colusa County,2023.3,0.4326710816777042
0-17,Contra Costa County,2022.1,0.47807239069052304
0-17,Contra Costa County,2022.2,0.49050317986334774
0-17,Contra Costa County,2022.3,0.5343849428265213
0-17,Contra Costa County,2022.4,0.5575370170913554
0-17,Contra Costa County,2023.1,0.5670430869870422
0-17,Contra Costa County,2023.2,0.569933187475772
0-17,Contra Costa County,2023.3,0.5710636710222836
0-17,Del Norte County,2022.1,0.23839191843239899
0-17,Del Norte County,2022.2,0.249503380314297
0-17,Del Norte County,2022.3,0.25819380628077415
0-17,Del Norte County,2022.4,0.2598928124195818
0-17,Del Norte County,2023.1,0.2620819808727879
0-17,Del Norte County,2023.2,0.2620819808727879
